#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
139        298.842 4063.76 12.546  0.041   2.018   0.064   1.455   0.051   2.076   0.053  
140        3299.61 2967.95 13.207  0.019   0.672   0.030   0.239   0.024   0.547   0.020  
141        1774.49 3380.20 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
142        789.871 3217.05 13.123  0.015   0.962   0.048   0.725   0.045   0.902   0.016  
143        3716.15 1026.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
144        2246.24 3925.95 12.720  0.028   0.608   0.050   0.014   0.042   0.481   0.027  
145        282.924 3674.08 13.417  0.033   0.643   0.063   0.303   0.053   0.686   0.035  
146        2658.61 1606.64 13.310  0.011   0.678   0.040   0.102   0.038   0.675   0.012  
147        4086.01 749.538 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
148        2676.40 2864.22 13.059  0.012   1.155   0.023   0.956   0.021   1.006   0.013  
149        1519.66 1311.35 14.223  0.018   2.522   0.026   0.778   0.024   2.838   0.018  
150        302.581 792.484 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
151        996.795 892.214 13.457  0.022   1.357   0.042   0.525   0.038   1.566   0.023  
152        706.433 840.748 13.035  0.022   2.088   0.045   1.379   0.043   2.184   0.029  
153        3263.76 3960.03 13.445  0.029   0.497   0.044   0.091   0.031   0.450   0.028  
154        367.944 1450.38 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
155        596.692 190.247 14.019  0.037   0.616   0.051   0.292   0.032   INDEF   INDEF  
156        796.663 3460.87 13.447  0.017   0.756   0.052   0.235   0.048   0.786   0.019  
157        2096.50 3571.55 13.390  0.012   1.749   0.029   1.106   0.029   1.438   0.012  
158        2118.67 1558.56 13.195  0.017   0.687   0.030   0.063   0.024   0.570   0.016  
159        340.689 750.272 13.187  0.033   1.232   0.047   0.911   0.033   1.246   0.034  
160        123.256 131.349 13.725  0.052   5.523   0.269   INDEF   INDEF   1.732   0.052  
161        1914.67 3980.46 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
162        1715.46 3779.74 15.994  0.275   -1.463  0.304   INDEF   INDEF   INDEF   INDEF  
163        1442.56 3841.04 13.109  0.024   0.673   0.052   0.170   0.049   0.624   0.025  
164        1397.14 1006.54 13.577  0.029   1.673   0.041   0.975   0.031   1.666   0.028  
165        2265.06 3835.66 13.077  0.028   0.825   0.051   0.104   0.042   0.737   0.027  
166        3466.80 2274.25 13.251  0.014   0.584   0.028   0.094   0.024   0.477   0.015  
167        3179.49 3279.50 13.341  0.021   0.695   0.035   0.276   0.028   0.641   0.021  
168        2162.21 376.861 13.199  0.035   2.543   0.182   -1.242  0.173   0.746   0.035  
169        243.841 1743.06 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
170        2647.18 24.957  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
171        315.768 2409.40 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
172        3286.77 987.555 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
173        3778.68 2486.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
174        871.654 3836.70 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
175        385.423 89.843  14.412  0.025   0.245   0.045   0.236   0.036   INDEF   INDEF  
176        2828.22 3165.75 13.545  0.022   1.617   0.031   1.031   0.022   1.609   0.022  
177        2834.06 1364.86 13.615  0.024   1.732   0.180   -0.774  0.173   0.467   0.026  
178        3209.50 3362.48 13.331  0.024   1.472   0.036   0.862   0.026   1.385   0.024  
179        2985.79 3933.95 13.515  0.018   2.094   0.033   1.262   0.028   1.961   0.018  
180        728.488 270.814 14.132  0.030   0.734   0.044   0.167   0.031   INDEF   INDEF  
181        1940.99 235.404 13.626  0.024   0.539   0.058   0.283   0.052   0.754   0.027  
182        992.927 766.163 13.395  0.022   0.725   0.053   0.240   0.049   0.772   0.024  
183        1389.56 929.127 13.185  0.014   0.775   0.035   -0.176  0.035   0.507   0.015  
