     ID            x            y            V           eV           BV          eBV           VI          eVI           UB          eUB  
    205     158.7880    1242.2070          nan       0.0220          nan          nan       0.7624       0.0343          nan          nan  
    206    2196.7400    1597.3830      13.6759       0.0082       1.5057       0.0303       1.4581       0.0118       0.9092       0.0223  
    207    1835.4360    2718.0520      13.5781       0.0150       0.8798       0.0390       0.8758       0.0195       0.3208       0.0218  
    208    2693.1590    3475.2260      13.1486       0.0200       0.5394       0.0586       0.4321       0.0251       0.1828       0.0371  
    209    2277.7320     102.7380          nan       0.0250          nan          nan       0.5734       0.0414          nan          nan  
    210    1547.3640    3728.9940      13.7755       0.0219       1.6716       0.0533       1.6615       0.0290       1.2646       0.0358  
    211    3483.6900    2811.6180      13.7581       0.0106       0.8359       0.0315       0.8443       0.0176       0.1720       0.0212  
    212    1301.8130     409.2850      13.5963       0.0240       0.8481       0.0686       0.8389       0.0348       0.4148       0.0428  
    213    2012.0590    1973.3780      14.1199       0.0140       2.6513       0.0295       3.1654       0.0207       0.7065       0.0200  
    214    2559.8160    1167.1300      13.7722       0.0250       0.9652       0.0706       0.8578       0.0341       0.2973       0.0365  
    215    1796.3150    3593.4370          nan       0.0180          nan          nan       0.7435       0.0228          nan          nan  
    216     641.6400    1978.8200      13.3522       0.0200       0.4723       0.0781       0.4870       0.0259       0.0643       0.0505  
    217    1359.3210    3858.3540      13.5286       0.0240       0.9018       0.0669       0.9181       0.0336       0.4461       0.0482  
    218    1383.9940    2281.1400      13.4301       0.0140       0.6907       0.0403       0.5698       0.0175       0.1583       0.0228  
    219     806.4030    3862.1810      13.8249       0.0290       0.7956       0.0848       0.9982       0.0482       0.2728       0.0581  
    220    3504.4980     649.4480          nan       0.0091          nan          nan       3.0457       0.0141          nan          nan  
    221    3408.6080    2075.0440          nan       0.0130          nan          nan       0.7579       0.0171          nan          nan  
    222    3455.2750     520.8990          nan       0.0100          nan          nan       0.6913       0.0160          nan          nan  
    223    2560.4600    1210.8180      14.0777       0.0145       0.6395       0.0553       0.6022       0.0231      -0.0248       0.0340  
    224    2776.7220    2461.5250      13.5637       0.0094       1.0884       0.0299       0.9271       0.0163       0.8612       0.0232  
    225     325.9030    2913.3570          nan       0.0220          nan          nan       0.7597       0.0330          nan          nan  
    226     336.4210    1919.9260          nan       0.0130          nan          nan       0.6994       0.0210          nan          nan  
    227    2136.3480    3934.1170      13.4897       0.0260       0.8566       0.0781       0.8488       0.0314       0.2454       0.0472  
    228    1285.4500     790.1430      13.4520       0.0240       0.5907       0.0664       0.5248       0.0321       0.2542       0.0414  
    229     924.7610    2587.7260      13.6597       0.0200       0.7981       0.0523       0.6202       0.0255       0.4207       0.0259  
    230    1353.5850     265.2580      13.5352       0.0270       1.7192       0.0619       1.6435       0.0392       1.0169       0.0341  
    231    3824.5490    4068.3910          nan       0.0170          nan          nan          nan          nan          nan          nan  
    232    3026.5360    1765.9410      13.6436       0.0130       0.9311       0.0425       0.8911       0.0179       0.3296       0.0271  
    233    1443.7450    3414.7040      13.6489       0.0085       0.6224       0.0397       0.5329       0.0149       0.0447       0.0309  
    234    4020.9530    3622.4020      13.5624       0.0230       1.7009       0.0537       1.7218       0.0296       1.2273       0.0267  
    235    3908.6070    3425.9170      13.7991       0.0153       0.9372       0.0431       0.9712       0.0213       0.2591       0.0251  
    236     851.6000    2013.4570      13.5420       0.0220       0.7651       0.0614       0.8308       0.0267       0.2836       0.0357  
    237     563.9360     947.9040          nan       0.0170          nan          nan       0.6832       0.0270          nan          nan  
    238    1063.7750    1196.2480      14.0224       0.0146       1.6289       0.0489       1.7929       0.0209       1.1226       0.0374  
    239     956.4250     185.9090      14.2587       0.0260       0.8420       0.0540          nan          nan       0.2767       0.0258  
    240    3019.2630    1338.4540      13.8946       0.0117       0.6553       0.0423       0.5545       0.0192       0.2807       0.0267  
    241    3613.8220    1172.8230          nan       0.0086          nan          nan       2.2258       0.0126          nan          nan  
    242     885.0890    1419.4380      13.4762       0.0250       0.6468       0.0756       0.6319       0.0310       0.3472       0.0444  
    243    2103.0510    3513.5520      13.3497       0.0230       0.7554       0.0622       0.6940       0.0265       0.3541       0.0360  
    244     309.6420    2855.1040          nan       0.0190          nan          nan       0.7669       0.0297          nan          nan  
    245    3888.9860    2112.7420          nan       0.0130          nan          nan       0.7021       0.0179          nan          nan  
    246    1799.6780    2285.9510      13.5682       0.0150       1.0372       0.0464       0.8722       0.0190       0.3795       0.0290  
    247     540.8980    1218.2520      13.8056       0.0152       0.9445       0.0661       1.0621       0.0248       0.4373       0.0509  
    248    2651.8840    1359.0100      14.0173       0.0230       0.8188       0.0630       0.6355       0.0321       0.2297       0.0320  
    249    2304.0910    1848.0120      13.7157       0.0096       1.7265       0.0298       1.5868       0.0142       1.2655       0.0202  
    250    2811.8470     528.5850          nan       0.0134          nan          nan       1.5508       0.0262          nan          nan  
    251    3707.1720    1734.3290          nan       0.0096          nan          nan       1.0081       0.0153          nan          nan  
    252    2668.5620    2402.7100      14.0064       0.0113       0.8030       0.0333       1.0774       0.0174      -0.0091       0.0237  
    253    1776.0820    2792.6790      13.6457       0.0190       0.5956       0.0439       0.4492       0.0229       0.2317       0.0206  
    254    2274.8390    1665.3800      13.9395       0.0160       1.6704       0.0360       1.6129       0.0195       1.0492       0.0198  
    255    3698.4350    1955.1660          nan       0.0106          nan          nan       0.6292       0.0172          nan          nan  
    256    2799.9370    2593.0920      14.5703       0.0113       2.4280       0.0279       3.2725       0.0181       0.7976       0.0236  
    257    3736.3610    3560.3100      13.9501       0.0220       0.7200       0.0537       0.7147       0.0288       0.3257       0.0259  
    258     238.0500    2509.5370          nan       0.0220          nan          nan       0.5590       0.0324          nan          nan  
    259    2336.1890     985.0360          nan       0.0290          nan          nan          nan          nan          nan          nan  
    260    1230.3990    3432.4530      13.8769       0.0140       0.9847       0.0488       1.0900       0.0207       0.4647       0.0314  
    261    3040.9810    3203.3180      13.6515       0.0130       1.9022       0.0328       1.7605       0.0212       1.2655       0.0223  
    262    3226.4790    1191.5200          nan       0.0110          nan          nan       0.6526       0.0163          nan          nan  
    263    2397.4490     232.8750          nan       0.0178          nan          nan       0.6283       0.0320          nan          nan  
