#ID              x       y     V      eV      BV     eBV      UB     eUB      VI     eVI
118        305.042 98.602  12.626  0.048   1.274   0.070   1.052   0.050   INDEF   INDEF  
119        4036.22 2652.69 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
120        847.422 1555.83 12.954  0.026   0.681   0.055   0.055   0.050   0.806   0.025  
121        3194.76 926.785 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
122        3107.64 397.917 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
123        2721.19 1369.93 13.412  0.023   0.644   0.049   0.227   0.044   0.480   0.024  
124        42.715  2920.22 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
125        3316.29 3612.85 13.140  0.016   0.977   0.029   0.216   0.026   0.691   0.017  
126        2631.77 4076.89 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
127        212.137 1417.09 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
128        3376.80 550.490 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
129        1394.10 969.723 13.926  0.017   2.358   0.031   0.797   0.034   3.156   0.019  
130        1197.51 2049.94 12.944  0.017   0.693   0.037   0.240   0.034   0.696   0.017  
131        415.544 355.859 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
132        3527.50 2630.54 13.124  0.016   1.794   0.024   1.304   0.020   1.734   0.017  
133        3617.03 816.247 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
134        1259.99 2124.14 12.949  0.021   0.672   0.033   -0.027  0.027   0.688   0.020  
135        190.129 2364.64 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
136        878.947 3830.61 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
137        2868.96 2254.18 13.127  0.010   0.775   0.025   0.314   0.026   0.644   0.012  
138        4051.06 2540.75 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
139        298.842 4063.76 12.564  0.040   2.025   0.064   1.531   0.055   2.080   0.052  
140        3299.61 2967.95 13.208  0.018   0.679   0.030   0.271   0.026   0.535   0.019  
141        1774.49 3380.20 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
142        789.871 3217.05 13.127  0.014   0.970   0.048   0.779   0.048   0.893   0.016  
143        3716.15 1026.43 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
144        2246.24 3925.95 12.720  0.027   0.615   0.050   0.036   0.045   0.468   0.026  
145        282.924 3674.08 13.418  0.033   0.650   0.063   0.339   0.056   0.674   0.035  
146        2658.61 1606.64 13.310  0.010   0.685   0.040   0.127   0.041   0.663   0.012  
147        4086.01 749.538 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
148        2676.40 2864.22 13.066  0.012   1.163   0.023   1.019   0.022   1.000   0.013  
149        1519.66 1311.35 14.248  0.018   2.530   0.026   0.811   0.026   2.849   0.018  
150        302.581 792.484 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
151        996.795 892.214 13.466  0.022   1.364   0.042   0.562   0.041   1.562   0.023  
152        706.433 840.748 13.054  0.022   2.095   0.045   1.450   0.046   2.189   0.029  
153        3263.76 3960.03 13.443  0.028   0.504   0.044   0.118   0.033   0.436   0.028  
154        367.944 1450.38 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
155        596.692 190.247 14.019  0.037   0.623   0.051   0.327   0.034   INDEF   INDEF  
156        796.663 3460.87 13.449  0.017   0.763   0.052   0.266   0.051   0.775   0.018  
157        2096.50 3571.55 13.405  0.012   1.756   0.030   1.168   0.030   1.439   0.012  
158        2118.67 1558.56 13.196  0.016   0.695   0.030   0.086   0.025   0.558   0.016  
159        340.689 750.272 13.196  0.032   1.240   0.047   0.970   0.035   1.241   0.034  
160        123.256 131.349 13.789  0.050   5.533   0.269   INDEF   INDEF   1.781   0.051  
161        1914.67 3980.46 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
162        1715.46 3779.74 15.966  0.271   -1.457  0.304   INDEF   INDEF   INDEF   INDEF  
163        1442.56 3841.04 13.110  0.024   0.680   0.052   0.198   0.052   0.612   0.025  
164        1397.14 1006.54 13.590  0.028   1.680   0.041   1.031   0.033   1.667   0.028  
165        2265.06 3835.66 13.080  0.027   0.832   0.051   0.127   0.045   0.727   0.026  
166        3466.80 2274.25 13.251  0.014   0.591   0.028   0.120   0.025   0.463   0.014  
167        3179.49 3279.50 13.342  0.021   0.702   0.035   0.310   0.030   0.629   0.021  
168        2162.21 376.861 13.225  0.033   2.552   0.182   -1.316  0.185   0.758   0.034  
169        243.841 1743.06 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
170        2647.18 24.957  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
171        315.768 2409.40 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
172        3286.77 987.555 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
173        3778.68 2486.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
174        871.654 3836.70 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
175        385.423 89.843  14.407  0.025   0.252   0.045   0.274   0.039   INDEF   INDEF  
176        2828.22 3165.75 13.558  0.022   1.625   0.031   1.090   0.023   1.609   0.021  
177        2834.06 1364.86 13.629  0.023   1.740   0.180   -0.811  0.184   0.468   0.024  
178        3209.50 3362.48 13.343  0.024   1.480   0.036   0.915   0.027   1.383   0.024  
179        2985.79 3933.95 13.534  0.017   2.101   0.033   1.327   0.030   1.967   0.018  
180        728.488 270.814 14.134  0.029   0.742   0.044   0.194   0.033   INDEF   INDEF  
181        1940.99 235.404 13.625  0.024   0.546   0.058   0.320   0.056   0.740   0.026  
182        992.927 766.163 13.396  0.022   0.732   0.053   0.272   0.052   0.760   0.023  
183        1389.56 929.127 13.187  0.014   0.783   0.035   -0.167  0.037   0.496   0.015  
184        2454.29 3712.28 14.799  0.017   2.511   0.029   0.836   0.029   2.918   0.017  
185        2963.60 631.470 13.459  0.022   2.260   0.120   -1.258  0.123   0.752   0.023  
186        749.493 1006.46 13.599  0.026   1.417   0.047   0.852   0.044   1.452   0.027  
187        125.969 857.125 14.117  0.031   0.681   0.043   0.376   0.030   INDEF   INDEF  
188        1909.58 893.151 13.531  0.033   0.874   0.054   0.175   0.044   0.915   0.032  
189        113.223 3802.99 13.808  0.039   0.715   0.062   0.189   0.049   0.834   0.041  
190        1325.68 907.863 13.249  0.021   0.652   0.049   0.218   0.048   0.575   0.021  
191        1343.70 1075.76 13.421  0.029   0.927   0.051   0.435   0.043   0.987   0.029  
192        4023.76 3243.10 13.849  0.024   0.592   0.040   0.144   0.032   0.607   0.024  
193        2593.21 586.200 13.549  0.024   0.721   0.058   0.103   0.056   0.620   0.025  
194        1310.42 3938.91 13.367  0.020   0.722   0.050   0.246   0.054   0.656   0.022  
195        1939.93 1636.97 13.392  0.015   0.552   0.023   0.252   0.017   0.436   0.015  
196        566.573 75.415  14.303  0.042   0.505   0.058   0.416   0.038   INDEF   INDEF  
197        1785.37 3239.57 13.310  0.014   0.697   0.026   0.111   0.023   0.526   0.014  
198        1747.06 149.758 14.181  0.030   2.255   0.045   INDEF   INDEF   2.420   0.032  
199        304.856 357.022 14.282  0.025   0.550   0.038   0.385   0.028   INDEF   INDEF  
200        605.166 2395.37 13.294  0.022   2.051   0.042   1.386   0.038   2.153   0.025  
201        569.316 2318.94 13.390  0.023   0.619   0.060   0.088   0.058   0.564   0.023  
202        3023.37 417.992 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
203        2983.22 1259.81 13.510  0.022   1.911   0.032   1.198   0.026   1.892   0.023  
204        2504.42 1206.34 13.823  0.017   0.816   0.041   0.298   0.039   0.782   0.018  
205        158.788 1242.21 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
206        2196.74 1597.38 13.679  0.009   1.496   0.022   0.911   0.023   1.441   0.009  
207        1835.44 2718.05 13.579  0.016   0.877   0.027   0.319   0.023   0.863   0.016  
208        2693.16 3475.23 13.148  0.022   0.540   0.042   0.202   0.038   0.413   0.021  
209        2277.73 102.738 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
210        1547.36 3728.99 13.779  0.024   1.660   0.037   1.293   0.034   1.647   0.024  
211        3483.69 2811.62 13.759  0.012   0.833   0.022   0.156   0.021   0.832   0.013  
212        1301.81 409.285 13.597  0.026   0.845   0.048   0.429   0.044   0.826   0.027  
213        2012.06 1973.38 14.126  0.015   2.629   0.021   0.551   0.018   3.181   0.016  
214        2559.82 1167.13 13.773  0.027   0.961   0.050   0.283   0.042   0.838   0.028  
215        1796.31 3593.44 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
216        641.640 1978.82 13.351  0.022   0.474   0.058   0.076   0.056   0.476   0.022  
217        1359.32 3858.35 13.529  0.026   0.899   0.047   0.458   0.046   0.906   0.027  
