
# Sun 12:05:37 24-Dec-2017
# List of observations files:
#		daom.obs
# Config:	bh73.cfg
# Parameters:	bh73.ans
#
# Computed indices for program and standard objects
#
# Columns: 
#	1	object id
#	2	x
#	3	y
#	4	V
#	5	error(V)
#	6	BV
#	7	error(BV)
#	8	UB
#	9	error(UB)
#	10	VI
#	11	error(VI)


155        596.692 190.247 14.023  0.037   0.624   0.052   0.309   0.033   INDEF   INDEF  
156        796.663 3460.87 13.452  0.017   0.765   0.052   0.248   0.050   0.791   0.018  
157        2096.50 3571.55 13.401  0.012   1.770   0.030   1.126   0.030   1.448   0.012  
158        2118.67 1558.56 13.199  0.016   0.696   0.030   0.073   0.025   0.574   0.016  
159        340.689 750.272 13.195  0.033   1.247   0.048   0.935   0.034   1.253   0.034  
160        123.256 131.349 13.759  0.051   5.589   0.272   INDEF   INDEF   1.765   0.051  
161        1914.67 3980.46 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
162        1715.46 3779.74 15.984  0.273   -1.480  0.308   INDEF   INDEF   INDEF   INDEF  
163        1442.56 3841.04 13.113  0.024   0.681   0.053   0.182   0.051   0.628   0.025  
164        1397.14 1006.54 13.587  0.028   1.693   0.042   0.992   0.033   1.676   0.028  
165        2265.06 3835.66 13.082  0.027   0.835   0.051   0.111   0.044   0.742   0.027  
166        3466.80 2274.25 13.255  0.014   0.591   0.028   0.106   0.025   0.480   0.015  
167        3179.49 3279.50 13.346  0.021   0.703   0.035   0.291   0.029   0.645   0.021  
168        2162.21 376.861 13.215  0.034   2.574   0.184   -1.309  0.182   0.762   0.035  
169        243.841 1743.06 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
170        2647.18 24.957  INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
171        315.768 2409.40 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
172        3286.77 987.555 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
173        3778.68 2486.52 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
174        871.654 3836.70 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
175        385.423 89.843  14.413  0.025   0.248   0.045   0.259   0.038   INDEF   INDEF  
176        2828.22 3165.75 13.555  0.022   1.637   0.031   1.051   0.023   1.619   0.021  
177        2834.06 1364.86 13.626  0.024   1.752   0.182   -0.811  0.181   0.477   0.025  
178        3209.50 3362.48 13.341  0.024   1.490   0.036   0.880   0.027   1.394   0.024  
179        2985.79 3933.95 13.528  0.018   2.119   0.033   1.280   0.029   1.973   0.018  
180        728.488 270.814 14.137  0.029   0.743   0.045   0.178   0.032   INDEF   INDEF  
181        1940.99 235.404 13.629  0.024   0.546   0.059   0.302   0.055   0.757   0.027  
182        992.927 766.163 13.399  0.022   0.733   0.053   0.254   0.051   0.776   0.023  
183        1389.56 929.127 13.190  0.014   0.785   0.035   -0.176  0.036   0.512   0.015  
184        2454.29 3712.28 14.790  0.017   2.532   0.030   0.797   0.028   2.922   0.017  
185        2963.60 631.470 13.452  0.022   2.278   0.122   -1.251  0.121   0.758   0.023  
186        749.493 1006.46 13.597  0.026   1.427   0.048   0.818   0.043   1.463   0.027  
187        125.969 857.125 14.120  0.032   0.682   0.044   0.356   0.029   INDEF   INDEF  
188        1909.58 893.151 13.533  0.033   0.877   0.054   0.158   0.043   0.930   0.032  
189        113.223 3802.99 13.812  0.039   0.716   0.062   0.173   0.048   0.850   0.042  
190        1325.68 907.863 13.252  0.021   0.653   0.050   0.202   0.047   0.591   0.021  
191        1343.70 1075.76 13.423  0.030   0.931   0.051   0.413   0.042   1.001   0.029  
192        4023.76 3243.10 13.853  0.024   0.592   0.041   0.130   0.031   0.623   0.024  
193        2593.21 586.200 13.552  0.024   0.723   0.059   0.089   0.055   0.636   0.025  
194        1310.42 3938.91 13.370  0.020   0.724   0.051   0.229   0.053   0.672   0.022  
195        1939.93 1636.97 13.396  0.015   0.552   0.023   0.235   0.016   0.453   0.015  
196        566.573 75.415  14.308  0.043   0.504   0.059   0.397   0.037   INDEF   INDEF  
197        1785.37 3239.57 13.313  0.014   0.698   0.026   0.097   0.023   0.542   0.014  
198        1747.06 149.758 14.174  0.031   2.274   0.046   INDEF   INDEF   2.426   0.032  
199        304.856 357.022 14.287  0.025   0.549   0.038   0.365   0.027   INDEF   INDEF  
200        605.166 2395.37 13.288  0.022   2.067   0.042   1.338   0.038   2.160   0.025  
201        569.316 2318.94 13.394  0.023   0.619   0.061   0.075   0.057   0.580   0.023  
202        3023.37 417.992 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
203        2983.22 1259.81 13.505  0.022   1.926   0.032   1.154   0.025   1.900   0.023  
204        2504.42 1206.34 13.825  0.017   0.819   0.042   0.280   0.038   0.797   0.018  
205        158.788 1242.21 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
206        2196.74 1597.38 13.676  0.009   1.506   0.023   0.876   0.022   1.452   0.009  
207        1835.44 2718.05 13.581  0.016   0.880   0.028   0.300   0.022   0.878   0.016  
208        2693.16 3475.23 13.152  0.022   0.539   0.042   0.187   0.037   0.430   0.022  
209        2277.73 102.738 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
210        1547.36 3728.99 13.775  0.024   1.672   0.038   1.249   0.033   1.657   0.024  
211        3483.69 2811.62 13.761  0.012   0.836   0.023   0.140   0.021   0.847   0.013  
212        1301.81 409.285 13.599  0.026   0.848   0.049   0.407   0.043   0.841   0.027  
213        2012.06 1973.38 14.117  0.015   2.652   0.021   0.518   0.018   3.185   0.016  
214        2559.82 1167.13 13.775  0.027   0.965   0.050   0.264   0.041   0.853   0.028  
215        1796.31 3593.44 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
216        641.640 1978.82 13.356  0.022   0.472   0.059   0.064   0.055   0.493   0.022  
217        1359.32 3858.35 13.531  0.026   0.902   0.048   0.435   0.045   0.921   0.027  
218        1383.99 2281.14 13.433  0.015   0.691   0.029   0.142   0.024   0.566   0.015  
219        806.403 3862.18 13.828  0.032   0.796   0.061   0.257   0.056   1.013   0.036  
220        3504.50 649.448 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
221        3408.61 2075.04 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
222        3455.27 520.899 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
223        2560.46 1210.82 14.081  0.016   0.640   0.042   -0.054  0.038   0.604   0.018  
224        2776.72 2461.52 13.566  0.010   1.089   0.022   0.872   0.022   0.918   0.012  
225        325.903 2913.36 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
226        336.421 1919.93 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
227        2136.35 3934.12 13.492  0.028   0.857   0.056   0.219   0.049   0.851   0.028  
228        1285.45 790.143 13.456  0.026   0.591   0.047   0.260   0.041   0.525   0.026  
229        924.761 2587.73 13.663  0.022   0.798   0.037   0.419   0.029   0.612   0.022  
230        1353.58 265.258 13.535  0.029   1.720   0.044   0.970   0.033   1.634   0.031  
231        3824.55 4068.39 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
232        3026.54 1765.94 13.646  0.014   0.931   0.031   0.303   0.028   0.890   0.015  
233        1443.74 3414.70 13.652  0.009   0.622   0.031   0.025   0.031   0.531   0.011  
234        4020.95 3622.40 13.562  0.025   1.701   0.038   1.204   0.028   1.719   0.025  
235        3908.61 3425.92 13.802  0.017   0.937   0.031   0.225   0.026   0.975   0.017  
236        851.600 2013.46 13.545  0.024   0.765   0.044   0.272   0.037   0.838   0.024  
237        563.936 947.904 INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF   INDEF  
238        1063.78 1196.25 14.023  0.016   1.629   0.036   1.097   0.036   1.799   0.017  
